JobID,Title,ExperienceLevel,YearsOfExperience,clean_description
AI015,AI Engineer - Experienced,Senior-Level,5+ years,ai engineer  experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikitlearn hugging face aws gcp azure docker kubernetes cicd spark hadoop shap lime lead aiml projects implement scalable deep learning and nlp pipelines deploy models in cloud environments mentor junior engineers ai ml seniorlevel deep learning nlp cloud mlops
AI016,AI Engineer - Experienced,Senior-Level,6+ years,ai engineer  experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikitlearn hugging face onnx aws gcp azure docker kubernetes cicd hadoop spark shap lime architect ai pipelines optimize deep learning and nlp solutions manage cloud ai infrastructure lead crossfunctional ai teams ai ml seniorlevel deep learning nlp cloud mlops
AI017,,Senior-Level,5–10 years,python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikitlearn hugging face aws gcp azure docker kubernetes cicd spark hadoop shap lime lead complex ai and ml projects develop scalable deep learning and nlp pipelines manage cloud ai infrastructure mentor junior engineers ai ml seniorlevel deep learning nlp cloud mlops
AI018,AI Engineer - Experienced,Senior-Level,6+ years,ai engineer  experienced python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch keras scikitlearn hugging face aws gcp azure docker kubernetes cicd spark hadoop shap lime lead aiml initiatives deploy advanced deep learning models optimize pipelines mentor and guide ai teams ai ml seniorlevel deep learning nlp cloud mlops
AI019,AI Engineer - Experienced,Senior-Level,5–9 years,ai engineer  experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikitlearn hugging face onnx aws gcp azure docker kubernetes cicd spark hadoop shap lime manage largescale ai projects implement predictive analytics solutions optimize mlai pipelines provide strategic business insights ai ml seniorlevel deep learning nlp cloud mlops
AI020,AI Engineer - Experienced,Senior-Level,5+ years,ai engineer  experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikitlearn hugging face onnx aws gcp azure docker kubernetes cicd spark hadoop shap lime lead aiml projects deploy and scale deep learning and nlp models optimize cloud pipelines mentor junior ai engineers and lead teams ai ml seniorlevel deep learning nlp cloud mlops
AI-F-001,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro to nlp hugging face transformers basics spacy basics nltk basics prompt writing fundamentals openai gpt models intro tensorflow basics pytorch basics critical thinking communication collaboration creativity assist in designing prompts for ai models test and evaluate prompt effectiveness collaborate with aidata science teams document prompt experiments support ai model integration tasks prompt engineering nlp python tensorflow pytorch ai model optimization hugging face gpt data analysis
AI-F-002,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing gpt model exposure tensorflow basics pytorch basics problemsolving communication teamwork creativity write and test basic prompts for ai models assist in nlprelated tasks collaborate with data science teams document prompt testing results support ai platform integration learn ai model evaluation techniques prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization
AI-F-003,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing fundamentals openai gpt models exposure tensorflow basics pytorch basics critical thinking communication collaboration creativity assist in prompt design for ai models evaluate prompt outcomes support aidata science team tasks document experiments learn nlp libraries assist in integration of prompts into ai applications prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis
AI-F-004,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics nlp introduction hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics collaboration creativity problemsolving communication write and test ai prompts support nlp tasks collaborate with aidata science teams document prompt testing results assist with ai model integration learn and apply ai frameworks prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis
AI-F-005,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt model basics tensorflow basics pytorch basics critical thinking communication teamwork creativity assist in prompt development for ai models test prompt performance collaborate with aidata science teams document experiments support ai integration projects learn prompt optimization techniques prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization
AI-F-006,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics introductory nlp hugging face basics spacy basics nltk basics prompt writing fundamentals gpt model exposure tensorflow basics pytorch basics problemsolving communication teamwork creativity write and refine prompts for ai models support nlp and data analysis tasks collaborate with aidata teams document prompt results and learnings assist in ai model evaluation and integration prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization
AI-F-007,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro nlp hugging face basics spacy basics nltk basics prompt writing openai gpt intro tensorflow basics pytorch basics communication teamwork problemsolving creativity assist in prompt creation for ai models test prompt performance collaborate with aidata teams document experiments support ai model integration and evaluation prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis
AI-F-008,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration communication creativity write and test ai prompts assist nlprelated tasks collaborate with aidata teams document prompt results support ai model evaluation and integration prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization
AI-F-009,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing openai gpt basics tensorflow basics pytorch basics problemsolving communication teamwork creativity assist in prompt design and testing collaborate with aidata science teams document prompt experiments learn prompt optimization techniques support ai integration projects prompt engineering nlp python tensorflow pytorch hugging face gpt data analysis
AI-F-010,AI Prompt Engineer,Fresher,0-1,ai prompt engineer python basics javascript basics nlp basics hugging face basics spacy basics nltk basics prompt writing fundamentals gpt models intro tensorflow basics pytorch basics critical thinking collaboration creativity communication assist in ai prompt creation and testing support nlp tasks collaborate with aidata science teams document prompt outcomes help integrate prompts with ai models prompt engineering nlp python tensorflow pytorch hugging face gpt ai model optimization
